surface_id,role,menu_xmlid,parent_menu_xmlid_chain,navigation_path,action_xmlid,model,source_module,required_groups,capability,acl_read,acl_create,acl_write,record_rule_exists,record_rules,product_policy_released,policy_release_state,role_root_allowed,role_blocked,http_statuses,load_result,old_70_membership,final_decision,decision_reason,exposure_mode,primary_group,task_key,journey_refs,entry_reason,context_parent
FE-AUD-fixture_role_finance-28,finance,smart_construction_core.menu_sc_invoice_registration,smart_construction_core.menu_sc_root > smart_construction_core.menu_sc_finance_center > smart_construction_core.menu_sc_invoice_management_group,系统菜单 / 财务中心 / 发票台账 / 发票总台账,smart_construction_core.action_sc_invoice_registration,sc.invoice.registration,smart_construction_core,smart_construction_core.group_sc_cap_business_initiator|smart_construction_core.group_sc_cap_finance_manager|smart_construction_core.group_sc_cap_finance_read|smart_construction_core.group_sc_cap_finance_user,catalog.menu.smart_construction_core_menu_sc_invoice_registration,true,true,true,false,,true,released,true,false,200,empty,false,PRODUCT_ROLE_NAV,released_role_root_acl_and_runtime_valid,PRIMARY_NAV,财务查询,finance.invoice_ledger,"J05,E2E-07",独立高频任务或正式旅程入口,
FE-AUD-fixture_role_finance-29,finance,smart_construction_core.menu_sc_invoice_output,smart_construction_core.menu_sc_root > smart_construction_core.menu_sc_finance_center > smart_construction_core.menu_sc_invoice_management_group,系统菜单 / 财务中心 / 发票台账 / 销项发票,smart_construction_core.action_sc_invoice_output,sc.output.invoice.ledger,smart_construction_core,smart_construction_core.group_sc_cap_finance_manager|smart_construction_core.group_sc_cap_finance_read|smart_construction_core.group_sc_cap_finance_user,catalog.menu.smart_construction_core_menu_sc_invoice_output,true,false,false,false,,true,released,true,false,200,empty,false,PRODUCT_ROLE_NAV,released_role_root_acl_and_runtime_valid,CONTEXTUAL_ROUTE,,,,保留授权直达能力，由项目、合同、资金关系链或搜索进入,smart_construction_core.menu_sc_invoice_management_group
FE-AUD-fixture_role_finance-30,finance,smart_construction_core.menu_sc_output_invoice_change_registration,smart_construction_core.menu_sc_root > smart_construction_core.menu_sc_finance_center > smart_construction_core.menu_sc_invoice_management_group,系统菜单 / 财务中心 / 发票台账 / 销项变更登记,smart_construction_core.action_sc_output_invoice_change_registration,sc.output.invoice.adjustment,smart_construction_core,smart_construction_core.group_sc_cap_finance_manager|smart_construction_core.group_sc_cap_finance_user,catalog.menu.smart_construction_core_menu_sc_output_invoice_change_registration,true,true,true,false,,true,released,true,false,200,empty,false,PRODUCT_ROLE_NAV,released_role_root_acl_and_runtime_valid,CONTEXTUAL_ROUTE,,,,保留授权直达能力，由项目、合同、资金关系链或搜索进入,smart_construction_core.menu_sc_invoice_management_group
FE-AUD-fixture_role_finance-31,finance,smart_construction_core.menu_sc_output_invoice_adjustment,smart_construction_core.menu_sc_root > smart_construction_core.menu_sc_finance_center > smart_construction_core.menu_sc_invoice_management_group,系统菜单 / 财务中心 / 发票台账 / 销项调整记录,smart_construction_core.action_sc_output_invoice_adjustment,sc.output.invoice.ledger,smart_construction_core,smart_construction_core.group_sc_cap_finance_manager|smart_construction_core.group_sc_cap_finance_read|smart_construction_core.group_sc_cap_finance_user,catalog.menu.smart_construction_core_menu_sc_output_invoice_adjustment,true,false,false,false,,true,released,true,false,200,empty,false,PRODUCT_ROLE_NAV,released_role_root_acl_and_runtime_valid,CONTEXTUAL_ROUTE,,,,保留授权直达能力，由项目、合同、资金关系链或搜索进入,smart_construction_core.menu_sc_invoice_management_group
FE-AUD-fixture_role_finance-32,finance,smart_construction_core.menu_sc_invoice_input,smart_construction_core.menu_sc_root > smart_construction_core.menu_sc_finance_center > smart_construction_core.menu_sc_invoice_management_group,系统菜单 / 财务中心 / 发票台账 / 进项发票,smart_construction_core.action_sc_invoice_input,sc.invoice.registration,smart_construction_core,smart_construction_core.group_sc_cap_finance_manager|smart_construction_core.group_sc_cap_finance_read|smart_construction_core.group_sc_cap_finance_user,catalog.menu.smart_construction_core_menu_sc_invoice_input,true,true,true,false,,true,released,true,false,200,empty,true,PRODUCT_ROLE_NAV,released_role_root_acl_and_runtime_valid,CONTEXTUAL_ROUTE,,,,保留授权直达能力，由项目、合同、资金关系链或搜索进入,smart_construction_core.menu_sc_invoice_management_group
FE-AUD-fixture_role_finance-33,finance,smart_construction_core.menu_receipt_invoice_line,smart_construction_core.menu_sc_root > smart_construction_core.menu_sc_finance_center > smart_construction_core.menu_sc_invoice_management_group,系统菜单 / 财务中心 / 发票台账 / 收款发票,smart_construction_core.action_receipt_invoice_line,sc.receipt.invoice.line,smart_construction_core,smart_construction_core.group_sc_cap_finance_manager|smart_construction_core.group_sc_cap_finance_read|smart_construction_core.group_sc_cap_finance_user,catalog.menu.smart_construction_core_menu_receipt_invoice_line,true,true,true,false,,true,released,true,false,200,empty,false,PRODUCT_ROLE_NAV,released_role_root_acl_and_runtime_valid,CONTEXTUAL_ROUTE,,,,保留授权直达能力，由项目、合同、资金关系链或搜索进入,smart_construction_core.menu_sc_invoice_management_group
FE-AUD-fixture_role_finance-34,finance,smart_construction_core.menu_sc_finance_project_capital_position,smart_construction_core.menu_sc_root > smart_construction_core.menu_sc_finance_center > smart_construction_core.menu_sc_finance_interfund_analysis,系统菜单 / 财务中心 / 资金分析 / 项目资金总览,smart_construction_core.action_sc_finance_project_capital_position,sc.finance.project.capital.position,smart_construction_core,smart_construction_core.group_sc_cap_finance_manager|smart_construction_core.group_sc_cap_finance_read|smart_construction_core.group_sc_cap_finance_user,catalog.menu.smart_construction_core_menu_sc_finance_project_capital_position,true,false,true,false,,true,released,true,false,200,empty,true,PRODUCT_ROLE_NAV,released_role_root_acl_and_runtime_valid,PRIMARY_NAV,财务分析,finance.project_funds,"J05,E2E-09",独立高频任务或正式旅程入口,
FE-AUD-fixture_role_finance-35,finance,smart_construction_core.menu_sc_finance_counterparty_position_summary,smart_construction_core.menu_sc_root > smart_construction_core.menu_sc_finance_center > smart_construction_core.menu_sc_finance_interfund_analysis,系统菜单 / 财务中心 / 资金分析 / 往来对象资金总览,smart_construction_core.action_sc_finance_counterparty_position_summary,sc.finance.counterparty.position.summary,smart_construction_core,smart_construction_core.group_sc_cap_finance_manager|smart_construction_core.group_sc_cap_finance_read|smart_construction_core.group_sc_cap_finance_user,catalog.menu.smart_construction_core_menu_sc_finance_counterparty_position_summary,true,false,true,false,,true,released,true,false,200,empty,true,PRODUCT_ROLE_NAV,released_role_root_acl_and_runtime_valid,PRIMARY_NAV,财务分析,finance.counterparty_funds,"J05,E2E-09",独立高频任务或正式旅程入口,
FE-AUD-fixture_role_finance-36,finance,smart_construction_core.menu_sc_finance_project_counterparty_position,smart_construction_core.menu_sc_root > smart_construction_core.menu_sc_finance_center > smart_construction_core.menu_sc_finance_interfund_analysis,系统菜单 / 财务中心 / 资金分析 / 项目与对象资金往来,smart_construction_core.action_sc_finance_project_counterparty_position,sc.finance.project.counterparty.position,smart_construction_core,smart_construction_core.group_sc_cap_finance_manager|smart_construction_core.group_sc_cap_finance_read|smart_construction_core.group_sc_cap_finance_user,catalog.menu.smart_construction_core_menu_sc_finance_project_counterparty_position,true,false,true,false,,true,released,true,false,200,empty,true,PRODUCT_ROLE_NAV,released_role_root_acl_and_runtime_valid,CONTEXTUAL_ROUTE,,,,保留授权直达能力，由项目、合同、资金关系链或搜索进入,smart_construction_core.menu_sc_finance_interfund_analysis
FE-AUD-fixture_role_finance-37,finance,smart_construction_core.menu_sc_company_contractor_responsibility_summary,smart_construction_core.menu_sc_root > smart_construction_core.menu_sc_finance_center > smart_construction_core.menu_sc_finance_interfund_analysis,系统菜单 / 财务中心 / 资金分析 / 公司-承包人资金责任余额,smart_construction_core.action_sc_company_contractor_responsibility_summary,sc.company.contractor.responsibility.summary,smart_construction_core,smart_construction_core.group_sc_cap_finance_manager|smart_construction_core.group_sc_cap_finance_read|smart_construction_core.group_sc_cap_finance_user,catalog.menu.smart_construction_core_menu_sc_company_contractor_responsibility_summary,true,false,true,false,,true,released,true,false,200,empty,true,PRODUCT_ROLE_NAV,released_role_root_acl_and_runtime_valid,CONTEXTUAL_ROUTE,,,,保留授权直达能力，由项目、合同、资金关系链或搜索进入,smart_construction_core.menu_sc_finance_interfund_analysis
FE-AUD-fixture_role_finance-38,finance,smart_construction_core.menu_sc_company_contractor_responsibility_fact,smart_construction_core.menu_sc_root > smart_construction_core.menu_sc_finance_center > smart_construction_core.menu_sc_finance_interfund_analysis,系统菜单 / 财务中心 / 资金分析 / 公司-承包人资金责任明细,smart_construction_core.action_sc_company_contractor_responsibility_fact,sc.company.contractor.responsibility.fact,smart_construction_core,smart_construction_core.group_sc_cap_finance_manager|smart_construction_core.group_sc_cap_finance_read|smart_construction_core.group_sc_cap_finance_user,catalog.menu.smart_construction_core_menu_sc_company_contractor_responsibility_fact,true,false,true,false,,true,released,true,false,200,empty,true,PRODUCT_ROLE_NAV,released_role_root_acl_and_runtime_valid,CONTEXTUAL_ROUTE,,,,保留授权直达能力，由项目、合同、资金关系链或搜索进入,smart_construction_core.menu_sc_finance_interfund_analysis
FE-AUD-fixture_role_finance-39,finance,smart_construction_core.menu_sc_finance_business_project_summary,smart_construction_core.menu_sc_root > smart_construction_core.menu_sc_finance_center > smart_construction_core.menu_sc_finance_interfund_analysis,系统菜单 / 财务中心 / 资金分析 / 项目收付款汇总,smart_construction_core.action_sc_finance_business_project_summary,sc.finance.business.project.summary,smart_construction_core,smart_construction_core.group_sc_cap_finance_manager|smart_construction_core.group_sc_cap_finance_read|smart_construction_core.group_sc_cap_finance_user,catalog.menu.smart_construction_core_menu_sc_finance_business_project_summary,true,false,true,false,,true,released,true,false,200,empty,false,PRODUCT_ROLE_NAV,released_role_root_acl_and_runtime_valid,CONTEXTUAL_ROUTE,,,,保留授权直达能力，由项目、合同、资金关系链或搜索进入,smart_construction_core.menu_sc_finance_interfund_analysis
FE-AUD-fixture_role_finance-40,finance,smart_construction_core.menu_sc_interfund_movement_project_summary,smart_construction_core.menu_sc_root > smart_construction_core.menu_sc_finance_center > smart_construction_core.menu_sc_finance_interfund_analysis,系统菜单 / 财务中心 / 资金分析 / 项目借还调拨汇总,smart_construction_core.action_sc_interfund_movement_project_summary,sc.interfund.movement.project.summary,smart_construction_core,smart_construction_core.group_sc_cap_finance_manager|smart_construction_core.group_sc_cap_finance_read|smart_construction_core.group_sc_cap_finance_user,catalog.menu.smart_construction_core_menu_sc_interfund_movement_project_summary,true,false,true,false,,true,released,true,false,200,empty,false,PRODUCT_ROLE_NAV,released_role_root_acl_and_runtime_valid,CONTEXTUAL_ROUTE,,,,保留授权直达能力，由项目、合同、资金关系链或搜索进入,smart_construction_core.menu_sc_finance_interfund_analysis
FE-AUD-fixture_role_finance-41,finance,smart_construction_core.menu_sc_finance_business_fact,smart_construction_core.menu_sc_root > smart_construction_core.menu_sc_finance_center > smart_construction_core.menu_sc_finance_interfund_analysis,系统菜单 / 财务中心 / 资金分析 / 项目收付款来源明细,smart_construction_core.action_sc_finance_business_fact,sc.finance.business.fact,smart_construction_core,smart_construction_core.group_sc_cap_finance_manager|smart_construction_core.group_sc_cap_finance_read|smart_construction_core.group_sc_cap_finance_user,catalog.menu.smart_construction_core_menu_sc_finance_business_fact,true,false,true,false,,true,released,true,false,200,empty,false,PRODUCT_ROLE_NAV,released_role_root_acl_and_runtime_valid,CONTEXTUAL_ROUTE,,,,保留授权直达能力，由项目、合同、资金关系链或搜索进入,smart_construction_core.menu_sc_finance_interfund_analysis
FE-AUD-fixture_role_finance-42,finance,smart_construction_core.menu_sc_interfund_movement_fact,smart_construction_core.menu_sc_root > smart_construction_core.menu_sc_finance_center > smart_construction_core.menu_sc_finance_interfund_analysis,系统菜单 / 财务中心 / 资金分析 / 借款还款与调拨明细,smart_construction_core.action_sc_interfund_movement_fact,sc.interfund.movement.fact,smart_construction_core,smart_construction_core.group_sc_cap_finance_manager|smart_construction_core.group_sc_cap_finance_read|smart_construction_core.group_sc_cap_finance_user,catalog.menu.smart_construction_core_menu_sc_interfund_movement_fact,true,false,true,false,,true,released,true,false,200,empty,false,PRODUCT_ROLE_NAV,released_role_root_acl_and_runtime_valid,CONTEXTUAL_ROUTE,,,,保留授权直达能力，由项目、合同、资金关系链或搜索进入,smart_construction_core.menu_sc_finance_interfund_analysis
FE-AUD-fixture_role_finance-43,finance,smart_construction_core.menu_sc_invoice_application_user,smart_construction_core.menu_sc_root > smart_construction_core.menu_sc_finance_center > smart_construction_core.menu_sc_invoice_tax_user_group,系统菜单 / 财务中心 / 发票税务 / 销项开票申请,smart_construction_core.action_sc_invoice_application_user,sc.invoice.registration,smart_construction_core,smart_construction_core.group_sc_cap_business_initiator|smart_construction_core.group_sc_cap_finance_manager|smart_construction_core.group_sc_cap_finance_read|smart_construction_core.group_sc_cap_finance_user,catalog.menu.smart_construction_core_menu_sc_invoice_application_user,true,true,true,false,,true,released,true,false,200,empty,true,PRODUCT_ROLE_NAV,released_role_root_acl_and_runtime_valid,CONTEXTUAL_ROUTE,,,,保留授权直达能力，由项目、合同、资金关系链或搜索进入,smart_construction_core.menu_sc_invoice_tax_user_group
FE-AUD-fixture_role_finance-44,finance,smart_construction_core.menu_sc_invoice_registration_user,smart_construction_core.menu_sc_root > smart_construction_core.menu_sc_finance_center > smart_construction_core.menu_sc_invoice_tax_user_group,系统菜单 / 财务中心 / 发票税务 / 销项开票登记,smart_construction_core.action_sc_invoice_registration_user,sc.invoice.registration,smart_construction_core,smart_construction_core.group_sc_cap_business_initiator|smart_construction_core.group_sc_cap_finance_manager|smart_construction_core.group_sc_cap_finance_read|smart_construction_core.group_sc_cap_finance_user,catalog.menu.smart_construction_core_menu_sc_invoice_registration_user,true,true,true,false,,true,released,true,false,200,empty,true,PRODUCT_ROLE_NAV,released_role_root_acl_and_runtime_valid,CONTEXTUAL_ROUTE,,,,保留授权直达能力，由项目、合同、资金关系链或搜索进入,smart_construction_core.menu_sc_invoice_tax_user_group
FE-AUD-fixture_role_finance-45,finance,smart_construction_core.menu_sc_invoice_prepaid_tax_user,smart_construction_core.menu_sc_root > smart_construction_core.menu_sc_finance_center > smart_construction_core.menu_sc_invoice_tax_user_group,系统菜单 / 财务中心 / 发票税务 / 预缴税款,smart_construction_core.action_sc_invoice_prepaid_tax_user,sc.invoice.registration,smart_construction_core,smart_construction_core.group_sc_cap_business_initiator|smart_construction_core.group_sc_cap_finance_manager|smart_construction_core.group_sc_cap_finance_read|smart_construction_core.group_sc_cap_finance_user,catalog.menu.smart_construction_core_menu_sc_invoice_prepaid_tax_user,true,true,true,false,,true,released,true,false,200,empty,true,PRODUCT_ROLE_NAV,released_role_root_acl_and_runtime_valid,CONTEXTUAL_ROUTE,,,,保留授权直达能力，由项目、合同、资金关系链或搜索进入,smart_construction_core.menu_sc_invoice_tax_user_group
FE-AUD-fixture_role_finance-46,finance,smart_construction_core.menu_sc_invoice_input_report_user,smart_construction_core.menu_sc_root > smart_construction_core.menu_sc_finance_center > smart_construction_core.menu_sc_invoice_tax_user_group,系统菜单 / 财务中心 / 发票税务 / 进项税额上报,smart_construction_core.action_sc_invoice_input_report_user,sc.invoice.registration,smart_construction_core,smart_construction_core.group_sc_cap_business_initiator|smart_construction_core.group_sc_cap_finance_manager|smart_construction_core.group_sc_cap_finance_read|smart_construction_core.group_sc_cap_finance_user,catalog.menu.smart_construction_core_menu_sc_invoice_input_report_user,true,true,true,false,,true,released,true,false,200,empty,false,PRODUCT_ROLE_NAV,released_role_root_acl_and_runtime_valid,CONTEXTUAL_ROUTE,,,,保留授权直达能力，由项目、合同、资金关系链或搜索进入,smart_construction_core.menu_sc_invoice_tax_user_group
FE-AUD-fixture_role_finance-47,finance,smart_construction_core.menu_sc_tax_deduction_registration_user,smart_construction_core.menu_sc_root > smart_construction_core.menu_sc_finance_center > smart_construction_core.menu_sc_invoice_tax_user_group,系统菜单 / 财务中心 / 发票税务 / 抵扣登记,smart_construction_core.action_sc_tax_deduction_registration_user,sc.tax.deduction.registration,smart_construction_core,smart_construction_core.group_sc_cap_business_initiator|smart_construction_core.group_sc_cap_finance_manager|smart_construction_core.group_sc_cap_finance_read|smart_construction_core.group_sc_cap_finance_user,catalog.menu.smart_construction_core_menu_sc_tax_deduction_registration_user,true,true,true,false,,true,released,true,false,200,empty,true,PRODUCT_ROLE_NAV,released_role_root_acl_and_runtime_valid,CONTEXTUAL_ROUTE,,,,保留授权直达能力，由项目、合同、资金关系链或搜索进入,smart_construction_core.menu_sc_invoice_tax_user_group
FE-AUD-fixture_role_finance-48,finance,smart_construction_core.menu_sc_funding_plan_declaration,smart_construction_core.menu_sc_root > smart_construction_core.menu_sc_finance_center > smart_construction_core.menu_sc_funding_plan_group,系统菜单 / 财务中心 / 资金计划 / 资金计划申报,smart_construction_core.action_project_funding_baseline,project.funding.baseline,smart_construction_core,smart_construction_core.group_sc_cap_finance_manager|smart_construction_core.group_sc_cap_finance_read|smart_construction_core.group_sc_cap_finance_user,catalog.menu.smart_construction_core_menu_sc_funding_plan_declaration,true,true,true,false,,true,released,true,false,200,empty,false,PRODUCT_ROLE_NAV,released_role_root_acl_and_runtime_valid,CONTEXTUAL_ROUTE,,,,保留授权直达能力，由项目、合同、资金关系链或搜索进入,smart_construction_core.menu_sc_funding_plan_group
FE-AUD-fixture_role_finance-49,finance,smart_construction_core.menu_sc_funding_plan_summary,smart_construction_core.menu_sc_root > smart_construction_core.menu_sc_finance_center > smart_construction_core.menu_sc_funding_plan_group,系统菜单 / 财务中心 / 资金计划 / 资金计划汇总,smart_construction_core.action_project_funding_baseline_summary,project.funding.baseline,smart_construction_core,smart_construction_core.group_sc_cap_finance_manager|smart_construction_core.group_sc_cap_finance_read|smart_construction_core.group_sc_cap_finance_user,catalog.menu.smart_construction_core_menu_sc_funding_plan_summary,true,true,true,false,,true,released,true,false,200,empty,false,PRODUCT_ROLE_NAV,released_role_root_acl_and_runtime_valid,PRIMARY_NAV,财务分析,finance.funding_plan,"J05,E2E-09",独立高频任务或正式旅程入口,
