model,table,python_path,views,actions,menus,ACL,record_rules,cron,seed,record_count,runtime_references,report_dependencies,frontend_contract_dependencies,customer_adapter_dependencies,classification,final_owner,decision_evidence
sc.legacy.deduction.adjustment.line,sc_legacy_deduction_adjustment_line,product:addons/smart_construction_core/models/support/legacy_deduction_adjustment_line.py,product:addons/smart_construction_core/views/core/expense_business_fact_taxonomy_views.xml;product:addons/smart_construction_core/views/support/audit_list_fields_views.xml;product:addons/smart_construction_core/views/support/legacy_invoice_runtime_views.xml,product:addons/smart_construction_core/views/core/expense_business_fact_taxonomy_views.xml;product:addons/smart_construction_core/views/support/legacy_invoice_runtime_views.xml,product:addons/smart_construction_core/views/core/expense_business_fact_taxonomy_views.xml;product:addons/smart_construction_core/views/support/legacy_invoice_runtime_views.xml,,,,,13521,product:addons/smart_construction_core/models/projection/company_operation_summary.py,product:addons/smart_construction_core/models/projection/company_operation_summary.py,,,CUSTOMER_LEGACY_CARRIER,private_customer_legacy_module,bridge_manifest_customer_history_name_and_runtime_dependency_inventory
sc.legacy.department,sc_legacy_department,product:addons/smart_construction_core/models/support/legacy_user_context.py,,,,,,,,830,,,,,CUSTOMER_LEGACY_CARRIER,private_customer_legacy_module,bridge_manifest_customer_history_name_and_runtime_dependency_inventory
sc.legacy.direct.acceptance.fact,sc_legacy_direct_acceptance_fact,product:addons/smart_construction_core/models/support/legacy_direct_acceptance_fact.py,product:addons/smart_construction_core/views/support/legacy_direct_acceptance_views.xml,product:addons/smart_construction_core/views/support/legacy_direct_acceptance_views.xml,,,,,,82216,product:addons/smart_construction_core/core_extension.py;product:addons/smart_construction_core/models/support/legacy_fuel_card_fact.py;product:addons/smart_construction_core/models/support/p1_daily_business_visible_alias_fields.py;product:addons/smart_construction_core/models/support/user_confirmed_formal_visible_fields.py,,,external_customer_legacy_module/attachment_lineage_mapping_v1.json;external_customer_legacy_module/customer_module_manifest.json;external_customer_legacy_module/models/user_formal_visible_fields.py,CUSTOMER_LEGACY_CARRIER,private_customer_legacy_module,bridge_manifest_customer_history_name_and_runtime_dependency_inventory
sc.legacy.engineering.progress.receipt,sc_legacy_engineering_progress_receipt,product:addons/smart_construction_core/models/support/legacy_engineering_progress_receipt.py,product:addons/smart_construction_core/views/support/legacy_engineering_progress_receipt_views.xml,product:addons/smart_construction_core/views/support/legacy_engineering_progress_receipt_views.xml,product:addons/smart_construction_core/views/support/legacy_engineering_progress_receipt_views.xml,,,,,3901,,,,,CUSTOMER_LEGACY_CARRIER,private_customer_legacy_module,bridge_manifest_customer_history_name_and_runtime_dependency_inventory
sc.legacy.enterprise.business.fact,sc_legacy_enterprise_business_fact,product:addons/smart_construction_core/models/support/legacy_enterprise_business_fact.py,product:addons/smart_construction_core/views/support/audit_list_fields_views.xml;product:addons/smart_construction_core/views/support/legacy_enterprise_business_fact_views.xml,product:addons/smart_construction_core/views/support/legacy_enterprise_business_fact_views.xml,product:addons/smart_construction_core/views/support/legacy_enterprise_business_fact_views.xml,,,,,1051,product:addons/smart_construction_core/models/support/partner_business_fact_line.py;product:addons/smart_construction_core/models/support/partner_legacy.py,,,,CUSTOMER_LEGACY_CARRIER,private_customer_legacy_module,bridge_manifest_customer_history_name_and_runtime_dependency_inventory
sc.legacy.equipment.lease.fact,sc_legacy_equipment_lease_fact,product:addons/smart_construction_core/models/support/legacy_equipment_lease_fact.py,product:addons/smart_construction_core/views/support/legacy_equipment_lease_views.xml,product:addons/smart_construction_core/views/support/legacy_equipment_lease_views.xml,product:addons/smart_construction_core/views/support/legacy_equipment_lease_views.xml,,,,,0,product:addons/smart_construction_core/models/projection/comprehensive_cost_summary.py,product:addons/smart_construction_core/models/projection/comprehensive_cost_summary.py,,,CUSTOMER_LEGACY_CARRIER,private_customer_legacy_module,bridge_manifest_customer_history_name_and_runtime_dependency_inventory
sc.legacy.expense.deposit.fact,sc_legacy_expense_deposit_fact,product:addons/smart_construction_core/models/support/legacy_expense_deposit_fact.py,product:addons/smart_construction_core/views/core/expense_business_fact_taxonomy_views.xml;product:addons/smart_construction_core/views/menu_business_taxonomy.xml;product:addons/smart_construction_core/views/support/audit_list_fields_views.xml;product:addons/smart_construction_core/views/support/legacy_expense_deposit_views.xml,product:addons/smart_construction_core/views/core/expense_business_fact_taxonomy_views.xml;product:addons/smart_construction_core/views/menu_business_taxonomy.xml;product:addons/smart_construction_core/views/support/legacy_expense_deposit_views.xml,product:addons/smart_construction_core/views/core/expense_business_fact_taxonomy_views.xml;product:addons/smart_construction_core/views/menu_business_taxonomy.xml,,,,,11167,product:addons/smart_construction_core/models/support/partner_business_fact_line.py;product:addons/smart_construction_core/models/support/partner_legacy.py,,,,CUSTOMER_LEGACY_CARRIER,private_customer_legacy_module,bridge_manifest_customer_history_name_and_runtime_dependency_inventory
sc.legacy.expense.reimbursement.line,sc_legacy_expense_reimbursement_line,product:addons/smart_construction_core/models/support/legacy_expense_reimbursement_line.py,product:addons/smart_construction_core/views/core/expense_business_fact_taxonomy_views.xml;product:addons/smart_construction_core/views/support/audit_list_fields_views.xml;product:addons/smart_construction_core/views/support/legacy_expense_deposit_views.xml,product:addons/smart_construction_core/views/core/expense_business_fact_taxonomy_views.xml;product:addons/smart_construction_core/views/support/legacy_expense_deposit_views.xml,product:addons/smart_construction_core/views/core/expense_business_fact_taxonomy_views.xml,,,,,3589,product:addons/smart_construction_core/models/projection/company_operation_summary.py,product:addons/smart_construction_core/models/projection/company_operation_summary.py,,,CUSTOMER_LEGACY_CARRIER,private_customer_legacy_module,bridge_manifest_customer_history_name_and_runtime_dependency_inventory
sc.legacy.file.index,sc_legacy_file_index,product:addons/smart_construction_core/models/support/legacy_file_index.py,product:addons/smart_construction_core/views/support/audit_list_fields_views.xml;product:addons/smart_construction_core/views/support/legacy_file_index_views.xml,product:addons/smart_construction_core/views/support/legacy_file_index_views.xml,product:addons/smart_construction_core/views/support/legacy_file_index_views.xml,,,,,179066,product:addons/smart_construction_core/models/support/legacy_fuel_card_fact.py;product:addons/smart_construction_core/models/support/legacy_fund_confirmation_document.py;product:addons/smart_construction_core/models/support/legacy_payment_residual_fact.py;product:addons/smart_construction_core/models/support/p1_daily_business_visible_alias_fields.py,,,external_customer_legacy_module/customer_module_manifest.json,CUSTOMER_LEGACY_CARRIER,private_customer_legacy_module,bridge_manifest_customer_history_name_and_runtime_dependency_inventory
sc.legacy.finance.auxiliary.fact,sc_legacy_finance_auxiliary_fact,external_customer_legacy_module/models/legacy_finance_auxiliary_fact.py,external_customer_legacy_module/views/legacy_finance_auxiliary_views.xml,external_customer_legacy_module/views/legacy_finance_auxiliary_views.xml,external_customer_legacy_module/views/legacy_finance_auxiliary_views.xml,,,,,0,,,,,CUSTOMER_LEGACY_CARRIER,private_customer_legacy_module,owned_manifest_and_zero_copy_upgrade
sc.legacy.financing.loan.fact,sc_legacy_financing_loan_fact,external_customer_legacy_module/models/legacy_financing_loan_fact.py,external_customer_legacy_module/views/legacy_financing_ledger_views.xml;external_customer_legacy_module/views/legacy_financing_loan_views.xml,external_customer_legacy_module/views/legacy_financing_ledger_views.xml,external_customer_legacy_module/views/legacy_financing_ledger_views.xml,,,,,318,,,,,CUSTOMER_LEGACY_CARRIER,private_customer_legacy_module,owned_manifest_and_zero_copy_upgrade
sc.legacy.fuel.card.fact,sc_legacy_fuel_card_fact,product:addons/smart_construction_core/models/support/legacy_fuel_card_fact.py,product:addons/smart_construction_core/views/menu_business_taxonomy.xml;product:addons/smart_construction_core/views/support/legacy_fuel_card_views.xml;product:addons/smart_construction_core/views/support/user_confirmed_formal_list_views.xml,product:addons/smart_construction_core/views/menu_business_taxonomy.xml;product:addons/smart_construction_core/views/support/legacy_fuel_card_views.xml;product:addons/smart_construction_core/views/support/user_confirmed_formal_list_views.xml,product:addons/smart_construction_core/views/menu_business_taxonomy.xml;product:addons/smart_construction_core/views/support/user_confirmed_formal_list_views.xml,,,,,8,,,,,CUSTOMER_LEGACY_CARRIER,private_customer_legacy_module,bridge_manifest_customer_history_name_and_runtime_dependency_inventory
sc.legacy.fuel.card.recharge.fact,sc_legacy_fuel_card_recharge_fact,product:addons/smart_construction_core/models/support/legacy_fuel_card_fact.py,product:addons/smart_construction_core/views/menu_business_taxonomy.xml;product:addons/smart_construction_core/views/support/legacy_fuel_card_views.xml;product:addons/smart_construction_core/views/support/user_confirmed_formal_form_views.xml;product:addons/smart_construction_core/views/support/user_confirmed_formal_list_views.xml,product:addons/smart_construction_core/views/menu_business_taxonomy.xml;product:addons/smart_construction_core/views/support/legacy_fuel_card_views.xml;product:addons/smart_construction_core/views/support/user_confirmed_formal_list_views.xml,product:addons/smart_construction_core/views/menu_business_taxonomy.xml;product:addons/smart_construction_core/views/support/user_confirmed_formal_list_views.xml,,,,,32,product:addons/smart_construction_core/models/support/user_confirmed_formal_visible_fields.py,,,,CUSTOMER_LEGACY_CARRIER,private_customer_legacy_module,bridge_manifest_customer_history_name_and_runtime_dependency_inventory
sc.legacy.fuel.card.refuel.fact,sc_legacy_fuel_card_refuel_fact,product:addons/smart_construction_core/models/support/legacy_fuel_card_fact.py,product:addons/smart_construction_core/views/support/legacy_fuel_card_views.xml;product:addons/smart_construction_core/views/support/user_confirmed_formal_list_views.xml,product:addons/smart_construction_core/views/support/legacy_fuel_card_views.xml;product:addons/smart_construction_core/views/support/user_confirmed_formal_list_views.xml,product:addons/smart_construction_core/views/support/user_confirmed_formal_list_views.xml,,,,,501,,,,,CUSTOMER_LEGACY_CARRIER,private_customer_legacy_module,bridge_manifest_customer_history_name_and_runtime_dependency_inventory
sc.legacy.fund.confirmation.document,sc_legacy_fund_confirmation_document,product:addons/smart_construction_core/models/support/legacy_fund_confirmation_document.py,product:addons/smart_construction_core/views/support/legacy_invoice_runtime_views.xml,product:addons/smart_construction_core/views/support/legacy_invoice_runtime_views.xml,product:addons/smart_construction_core/views/support/legacy_invoice_runtime_views.xml,,,,,5205,product:addons/smart_construction_core/core_extension.py;product:addons/smart_construction_core/core_extension_policy_maps.py;product:addons/smart_construction_core/models/projection/finance_business_fact.py;product:addons/smart_construction_core/models/support/p1_daily_business_visible_alias_fields.py,product:addons/smart_construction_core/models/projection/finance_business_fact.py,,external_customer_legacy_module/attachment_lineage_mapping_v1.json,CUSTOMER_LEGACY_CARRIER,private_customer_legacy_module,bridge_manifest_customer_history_name_and_runtime_dependency_inventory
sc.legacy.fund.confirmation.header,sc_legacy_fund_confirmation_header,product:addons/smart_construction_core/models/support/legacy_fund_confirmation_header.py,,,,,,,,5265,product:addons/smart_construction_core/models/support/legacy_fund_confirmation_document.py,,,,CUSTOMER_LEGACY_CARRIER,private_customer_legacy_module,bridge_manifest_customer_history_name_and_runtime_dependency_inventory
sc.legacy.fund.confirmation.line,sc_legacy_fund_confirmation_line,product:addons/smart_construction_core/models/support/legacy_fund_confirmation_line.py,product:addons/smart_construction_core/views/core/expense_business_fact_taxonomy_views.xml;product:addons/smart_construction_core/views/support/audit_list_fields_views.xml;product:addons/smart_construction_core/views/support/legacy_invoice_runtime_views.xml,product:addons/smart_construction_core/views/core/expense_business_fact_taxonomy_views.xml;product:addons/smart_construction_core/views/support/legacy_invoice_runtime_views.xml,product:addons/smart_construction_core/views/core/expense_business_fact_taxonomy_views.xml;product:addons/smart_construction_core/views/support/legacy_invoice_runtime_views.xml,,,,,13398,product:addons/smart_construction_core/models/support/legacy_fund_confirmation_document.py,,,,CUSTOMER_LEGACY_CARRIER,private_customer_legacy_module,bridge_manifest_customer_history_name_and_runtime_dependency_inventory
sc.legacy.fund.daily.line,sc_legacy_fund_daily_line,product:addons/smart_construction_core/models/support/legacy_fund_daily_line.py,product:addons/smart_construction_core/views/projection/fund_daily_views.xml;product:addons/smart_construction_core/views/support/audit_list_fields_views.xml,product:addons/smart_construction_core/views/projection/fund_daily_views.xml;product:addons/smart_construction_core/views/support/legacy_finance_internal_views.xml,product:addons/smart_construction_core/views/projection/fund_daily_views.xml;product:addons/smart_construction_core/views/support/legacy_finance_internal_views.xml,,,,,15616,product:addons/smart_construction_core/models/projection/account_income_expense_summary.py;product:addons/smart_construction_core/models/support/p1_daily_business_visible_alias_fields.py,product:addons/smart_construction_core/models/projection/account_income_expense_summary.py;product:addons/smart_construction_core/views/projection/fund_daily_views.xml,,,CUSTOMER_LEGACY_CARRIER,private_customer_legacy_module,bridge_manifest_customer_history_name_and_runtime_dependency_inventory
sc.legacy.fund.daily.snapshot.fact,sc_legacy_fund_daily_snapshot_fact,product:addons/smart_construction_core/models/support/legacy_fund_daily_snapshot_fact.py,product:addons/smart_construction_core/data/p1_daily_business_form_orchestration_contract_data.xml;product:addons/smart_construction_core/views/projection/fund_daily_views.xml;product:addons/smart_construction_core/views/support/audit_list_fields_views.xml;product:addons/smart_construction_core/views/support/legacy_fund_daily_snapshot_views.xml;product:addons/smart_construction_core/views/support/p1_daily_business_visible_alias_views.xml,product:addons/smart_construction_core/views/projection/fund_daily_views.xml;product:addons/smart_construction_core/views/support/legacy_finance_internal_views.xml;product:addons/smart_construction_core/views/support/p1_daily_business_visible_alias_views.xml,product:addons/smart_construction_core/views/projection/fund_daily_views.xml;product:addons/smart_construction_core/views/support/legacy_finance_internal_views.xml,,,,product:addons/smart_construction_core/data/p1_daily_business_form_orchestration_contract_data.xml,4294,product:addons/smart_construction_core/models/core/formal_config_contract_fields.py;product:addons/smart_construction_core/models/projection/fund_daily_summary.py;product:addons/smart_construction_core/models/support/p1_daily_business_visible_alias_fields.py,product:addons/smart_construction_core/models/projection/fund_daily_summary.py;product:addons/smart_construction_core/views/projection/fund_daily_views.xml,,,CUSTOMER_LEGACY_CARRIER,private_customer_legacy_module,bridge_manifest_customer_history_name_and_runtime_dependency_inventory
sc.legacy.income.invoice.fact,sc_legacy_income_invoice_fact,external_customer_legacy_module/models/legacy_income_invoice_fact.py,external_customer_legacy_module/views/legacy_income_invoice_views.xml,external_customer_legacy_module/views/legacy_income_invoice_views.xml,external_customer_legacy_module/views/legacy_income_invoice_views.xml,,,,,14489,,,,,CUSTOMER_LEGACY_CARRIER,private_customer_legacy_module,owned_manifest_and_zero_copy_upgrade
sc.legacy.invoice.analysis.report.fact,sc_legacy_invoice_analysis_report_fact,external_customer_legacy_module/models/legacy_invoice_analysis_report_fact.py,external_customer_legacy_module/views/legacy_invoice_report_fact_views.xml,external_customer_legacy_module/views/legacy_invoice_report_fact_views.xml,,,,,,16191,,external_customer_legacy_module/views/legacy_invoice_report_fact_views.xml,,,CUSTOMER_LEGACY_CARRIER,private_customer_legacy_module,owned_manifest_and_zero_copy_upgrade
sc.legacy.invoice.cost.progress.report.fact,sc_legacy_invoice_cost_progress_report_fact,external_customer_legacy_module/models/legacy_invoice_cost_progress_report_fact.py,external_customer_legacy_module/views/legacy_invoice_report_fact_views.xml,external_customer_legacy_module/views/legacy_invoice_report_fact_views.xml,,,,,,619,,external_customer_legacy_module/views/legacy_invoice_report_fact_views.xml,,,CUSTOMER_LEGACY_CARRIER,private_customer_legacy_module,owned_manifest_and_zero_copy_upgrade
sc.legacy.invoice.registration.line,sc_legacy_invoice_registration_line,product:addons/smart_construction_core/models/support/legacy_invoice_registration_line.py,product:addons/smart_construction_core/views/menu_business_taxonomy.xml;product:addons/smart_construction_core/views/support/audit_list_fields_views.xml;product:addons/smart_construction_core/views/support/legacy_invoice_runtime_views.xml,product:addons/smart_construction_core/views/menu_business_taxonomy.xml;product:addons/smart_construction_core/views/support/legacy_invoice_runtime_views.xml,product:addons/smart_construction_core/views/menu_business_taxonomy.xml;product:addons/smart_construction_core/views/support/legacy_invoice_runtime_views.xml,,,,,25393,product:addons/smart_construction_core/models/support/partner_business_fact_line.py;product:addons/smart_construction_core/models/support/partner_legacy.py,,,,CUSTOMER_LEGACY_CARRIER,private_customer_legacy_module,bridge_manifest_customer_history_name_and_runtime_dependency_inventory
sc.legacy.invoice.surcharge.fact,sc_legacy_invoice_surcharge_fact,product:addons/smart_construction_core/models/support/legacy_invoice_surcharge_fact.py,product:addons/smart_construction_core/views/support/audit_list_fields_views.xml;product:addons/smart_construction_core/views/support/legacy_invoice_surcharge_views.xml,product:addons/smart_construction_core/views/support/legacy_invoice_surcharge_views.xml,,,,,,27053,product:addons/smart_construction_core/models/projection/ar_ap_project_summary.py,product:addons/smart_construction_core/models/projection/ar_ap_project_summary.py,,,CUSTOMER_LEGACY_CARRIER,private_customer_legacy_module,bridge_manifest_customer_history_name_and_runtime_dependency_inventory
sc.legacy.invoice.tax.fact,sc_legacy_invoice_tax_fact,product:addons/smart_construction_core/models/support/legacy_invoice_tax_fact.py,product:addons/smart_construction_core/views/support/audit_list_fields_views.xml;product:addons/smart_construction_core/views/support/legacy_invoice_tax_views.xml,product:addons/smart_construction_core/views/support/legacy_invoice_tax_views.xml,,,,,,31072,product:addons/smart_construction_core/core_extension_policy_maps.py;product:addons/smart_construction_core/models/core/output_invoice_ledger.py;product:addons/smart_construction_core/models/support/p1_daily_business_visible_alias_fields.py,,,external_customer_legacy_module/attachment_lineage_mapping_v1.json;external_customer_legacy_module/customer_module_manifest.json,CUSTOMER_LEGACY_CARRIER,private_customer_legacy_module,bridge_manifest_customer_history_name_and_runtime_dependency_inventory
sc.legacy.labor.subcontract.fact,sc_legacy_labor_subcontract_fact,product:addons/smart_construction_core/models/support/legacy_labor_subcontract_fact.py,product:addons/smart_construction_core/views/support/legacy_labor_subcontract_views.xml,product:addons/smart_construction_core/views/support/legacy_labor_subcontract_views.xml,product:addons/smart_construction_core/views/support/legacy_labor_subcontract_views.xml,,,,,0,product:addons/smart_construction_core/models/projection/comprehensive_cost_summary.py,product:addons/smart_construction_core/models/projection/comprehensive_cost_summary.py,,,CUSTOMER_LEGACY_CARRIER,private_customer_legacy_module,bridge_manifest_customer_history_name_and_runtime_dependency_inventory
sc.legacy.legacy_source.material.map,sc_legacy_legacy_source_material_map,,,,,,,,,TABLE_ABSENT,,,,,DEAD_CONFIRMED,none_metadata_retired,frozen_history_table_absent_and_all_static_references_removed
sc.legacy.material.category,sc_legacy_material_category,product:addons/smart_construction_core/models/support/legacy_material_catalog.py,product:addons/smart_construction_core/views/support/audit_list_fields_views.xml;product:addons/smart_construction_core/views/support/legacy_material_catalog_views.xml,product:addons/smart_construction_core/views/support/legacy_material_catalog_views.xml,product:addons/smart_construction_core/views/support/legacy_material_catalog_views.xml,,,,,130624,product:addons/smart_construction_core/models/support/product_extend.py,,,,CUSTOMER_LEGACY_CARRIER,private_customer_legacy_module,bridge_manifest_customer_history_name_and_runtime_dependency_inventory
sc.legacy.material.detail,sc_legacy_material_detail,product:addons/smart_construction_core/models/support/legacy_material_catalog.py,product:addons/smart_construction_core/views/support/audit_list_fields_views.xml;product:addons/smart_construction_core/views/support/legacy_material_catalog_views.xml,product:addons/smart_construction_core/views/support/legacy_material_catalog_views.xml,product:addons/smart_construction_core/views/support/legacy_material_catalog_views.xml,,,,,2279734,product:addons/smart_construction_core/models/core/material_catalog.py;product:addons/smart_construction_core/models/support/product_extend.py,,,,CUSTOMER_LEGACY_CARRIER,private_customer_legacy_module,bridge_manifest_customer_history_name_and_runtime_dependency_inventory
sc.legacy.material.stock.fact,sc_legacy_material_stock_fact,product:addons/smart_construction_core/models/support/legacy_material_stock_fact.py,product:addons/smart_construction_core/views/support/legacy_material_stock_views.xml,product:addons/smart_construction_core/views/support/legacy_material_stock_views.xml,product:addons/smart_construction_core/views/support/legacy_material_stock_views.xml,,,,,20922,product:addons/smart_construction_core/models/projection/comprehensive_cost_summary.py;product:addons/smart_construction_core/models/projection/material_stock_summary.py,product:addons/smart_construction_core/models/projection/comprehensive_cost_summary.py;product:addons/smart_construction_core/models/projection/material_stock_summary.py,,,CUSTOMER_LEGACY_CARRIER,private_customer_legacy_module,bridge_manifest_customer_history_name_and_runtime_dependency_inventory
sc.legacy.partner.map,sc_legacy_partner_map,product:addons/smart_construction_core/models/support/business_entity.py,product:addons/smart_construction_core/views/support/audit_list_fields_views.xml;product:addons/smart_construction_core/views/support/business_entity_views.xml,product:addons/smart_construction_core/views/support/business_entity_views.xml,product:addons/smart_construction_core/views/support/business_entity_views.xml,,,,,980,product:addons/smart_construction_core/models/projection/p1_relationship_suggestion.py;product:addons/smart_construction_core/models/support/workflow_contract_service.py,product:addons/smart_construction_core/models/projection/p1_relationship_suggestion.py,,,CUSTOMER_LEGACY_CARRIER,private_customer_legacy_module,bridge_manifest_customer_history_name_and_runtime_dependency_inventory
sc.legacy.payment.adjustment.fact,sc_legacy_payment_adjustment_fact,external_customer_legacy_module/models/legacy_payment_adjustment_fact.py,external_customer_legacy_module/views/legacy_payment_adjustment_audit_views.xml;external_customer_legacy_module/views/legacy_payment_adjustment_views.xml,external_customer_legacy_module/views/legacy_payment_adjustment_views.xml,external_customer_legacy_module/views/legacy_payment_adjustment_views.xml,,,,,160,,,,,CUSTOMER_LEGACY_CARRIER,private_customer_legacy_module,owned_manifest_and_zero_copy_upgrade
sc.legacy.payment.residual.fact,sc_legacy_payment_residual_fact,product:addons/smart_construction_core/models/support/legacy_payment_residual_fact.py,product:addons/smart_construction_core/data/tax_deduction_certificate_form_productization_contract.xml;product:addons/smart_construction_core/views/core/expense_business_fact_taxonomy_views.xml;product:addons/smart_construction_core/views/menu_business_taxonomy.xml,product:addons/smart_construction_core/views/core/expense_business_fact_taxonomy_views.xml;product:addons/smart_construction_core/views/menu_business_taxonomy.xml,product:addons/smart_construction_core/views/core/expense_business_fact_taxonomy_views.xml;product:addons/smart_construction_core/views/menu_business_taxonomy.xml,,,,product:addons/smart_construction_core/data/business_category_seed.xml;product:addons/smart_construction_core/data/tax_deduction_certificate_form_productization_contract.xml,4526,product:addons/smart_construction_core/core_extension.py;product:addons/smart_construction_core/core_extension_policy_maps.py;product:addons/smart_construction_core/models/support/p1_daily_business_visible_alias_fields.py;product:addons/smart_construction_core/models/support/partner_business_fact_line.py;product:addons/smart_construction_core/models/support/partner_legacy.py,,,external_customer_legacy_module/attachment_lineage_mapping_v1.json,CUSTOMER_LEGACY_CARRIER,private_customer_legacy_module,bridge_manifest_customer_history_name_and_runtime_dependency_inventory
sc.legacy.personnel.movement,sc_legacy_personnel_movement,external_customer_legacy_module/models/legacy_owned_v2.py,,,,,,,,0,,,,,CUSTOMER_LEGACY_CARRIER,private_customer_legacy_module,owned_manifest_and_zero_copy_upgrade
