menu_xmlid,current_path,current_name,action_xmlid,group_xmlids,level,technical_name_risk,proposed_level_1,proposed_level_2,proposed_level_3,decision,product_owner_evidence,runtime_evidence,migration_compatibility,unresolved_reason
smart_construction_core.menu_project_material_plan,智慧施工管理平台 / 物资与分包 / 材料管理 / 材料计划,材料计划,smart_construction_core.action_project_material_plan,"smart_construction_core.group_sc_cap_business_initiator,smart_construction_core.group_sc_cap_material_manager,smart_construction_core.group_sc_cap_material_user",3,false,,,,investigate,,,preserve_xmlid_action_until_M5,product_and_runtime_evidence_not_yet_available
smart_construction_core.menu_project_quota_center,智慧施工管理平台 / 系统配置 / 定额库 / 定额中心（左树右明细）,定额中心（左树右明细）,smart_construction_core.action_project_quota_tree,smart_construction_core.group_sc_cap_business_config_admin,3,false,,,,investigate,,,preserve_xmlid_action_until_M5,product_and_runtime_evidence_not_yet_available
smart_construction_core.menu_project_quota_root,智慧施工管理平台 / 系统配置 / 定额库,定额库,,smart_construction_core.group_sc_cap_business_config_admin,2,false,,,,investigate,,,preserve_xmlid_action_until_M5,product_and_runtime_evidence_not_yet_available
smart_construction_core.menu_project_quota_subitem,智慧施工管理平台 / 系统配置 / 定额库 / 定额子目,定额子目,smart_construction_core.action_project_quota_subitem,smart_construction_core.group_sc_cap_business_config_admin,3,false,,,,investigate,,,preserve_xmlid_action_until_M5,product_and_runtime_evidence_not_yet_available
smart_construction_core.menu_project_quota_tree,智慧施工管理平台 / 系统配置 / 定额库 / 定额层级,定额层级,smart_construction_core.action_project_quota_tree,smart_construction_core.group_sc_cap_business_config_admin,3,false,,,,investigate,,,preserve_xmlid_action_until_M5,product_and_runtime_evidence_not_yet_available
smart_construction_core.menu_quota_import_wizard,智慧施工管理平台 / 系统配置 / 定额字典 / 四川定额导入,四川定额导入,smart_construction_core.action_quota_import_wizard,smart_construction_core.group_sc_cap_business_config_admin,3,false,,,,investigate,,,preserve_xmlid_action_until_M5,product_and_runtime_evidence_not_yet_available
smart_construction_core.menu_receipt_invoice_line,智慧施工管理平台 / 财务中心 / 发票台账 / 收款发票,收款发票,smart_construction_core.action_receipt_invoice_line,"smart_construction_core.group_sc_cap_finance_manager,smart_construction_core.group_sc_cap_finance_read,smart_construction_core.group_sc_cap_finance_user",3,false,,,,investigate,,,preserve_xmlid_action_until_M5,product_and_runtime_evidence_not_yet_available
smart_construction_core.menu_sc_advance_fund,智慧施工管理平台 / 财务中心 / 费用与保证金 / 备用金,备用金,smart_construction_core.action_sc_expense_claim_advance_fund,"smart_construction_core.group_sc_cap_finance_manager,smart_construction_core.group_sc_cap_finance_read,smart_construction_core.group_sc_cap_finance_user",3,false,,,,investigate,,,preserve_xmlid_action_until_M5,product_and_runtime_evidence_not_yet_available
smart_construction_core.menu_sc_analysis_project_operation,智慧施工管理平台 / 统计分析 / 经营分析 / 项目经营分析,项目经营分析,smart_construction_core.action_sc_operating_metrics_project,"smart_construction_core.group_sc_cap_cost_manager,smart_construction_core.group_sc_cap_cost_read,smart_construction_core.group_sc_cap_cost_user,smart_construction_core.group_sc_cap_data_read",3,false,,,,investigate,,,preserve_xmlid_action_until_M5,product_and_runtime_evidence_not_yet_available
smart_construction_core.menu_sc_approval_policy,智慧施工管理平台 / 配置中心 / 业务基础数据 / 审批配置,审批配置,smart_construction_core.action_sc_approval_policy,smart_construction_core.group_sc_cap_business_config_admin,3,false,,,,investigate,,,preserve_xmlid_action_until_M5,product_and_runtime_evidence_not_yet_available
smart_construction_core.menu_sc_approval_scope,智慧施工管理平台 / 配置中心 / 业务基础数据 / 审批岗位人员,审批岗位人员,smart_construction_core.action_sc_approval_scope,smart_construction_core.group_sc_cap_business_config_admin,3,false,,,,investigate,,,preserve_xmlid_action_until_M5,product_and_runtime_evidence_not_yet_available
smart_construction_core.menu_sc_ar_ap_company_summary,智慧施工管理平台 / 统计分析 / 财务分析 / 供应商账款,供应商账款,smart_construction_core.action_sc_ar_ap_company_summary,"smart_construction_core.group_sc_cap_business_initiator,smart_construction_core.group_sc_cap_contract_manager,smart_construction_core.group_sc_cap_contract_read,smart_construction_core.group_sc_cap_contract_user,smart_construction_core.group_sc_cap_finance_manager,smart_construction_core.group_sc_cap_finance_read,smart_construction_core.group_sc_cap_finance_user",3,false,,,,investigate,,,preserve_xmlid_action_until_M5,product_and_runtime_evidence_not_yet_available
smart_construction_core.menu_sc_ar_ap_finance_tax_report,智慧施工管理平台 / 税务中心 / 财税报表 / 应收应付报表,应收应付报表,smart_construction_core.action_sc_ar_ap_company_summary,"smart_construction_core.group_sc_cap_contract_manager,smart_construction_core.group_sc_cap_contract_read,smart_construction_core.group_sc_cap_contract_user,smart_construction_core.group_sc_cap_finance_manager,smart_construction_core.group_sc_cap_finance_read,smart_construction_core.group_sc_cap_finance_user",3,false,,,,investigate,,,preserve_xmlid_action_until_M5,product_and_runtime_evidence_not_yet_available
smart_construction_core.menu_sc_ar_ap_project_summary,智慧施工管理平台 / 统计分析 / 财务分析 / 客户账款,客户账款,smart_construction_core.action_sc_ar_ap_project_summary,"smart_construction_core.group_sc_cap_business_initiator,smart_construction_core.group_sc_cap_contract_manager,smart_construction_core.group_sc_cap_contract_read,smart_construction_core.group_sc_cap_contract_user,smart_construction_core.group_sc_cap_finance_manager,smart_construction_core.group_sc_cap_finance_read,smart_construction_core.group_sc_cap_finance_user",3,false,,,,investigate,,,preserve_xmlid_action_until_M5,product_and_runtime_evidence_not_yet_available
smart_construction_core.menu_sc_arrival_confirmation,智慧施工管理平台 / 财务中心 / 到款确认表,到款确认表,smart_construction_core.action_sc_receipt_income_arrival_confirmation,"smart_construction_core.group_sc_cap_business_initiator,smart_construction_core.group_sc_cap_finance_manager,smart_construction_core.group_sc_cap_finance_read,smart_construction_core.group_sc_cap_finance_user",2,false,,,,investigate,,,preserve_xmlid_action_until_M5,product_and_runtime_evidence_not_yet_available
smart_construction_core.menu_sc_attendance_checkin,智慧施工管理平台 / 物资与分包 / 劳务管理 / 考勤记录,考勤记录,smart_construction_core.action_sc_attendance_checkin,smart_construction_core.group_sc_internal_user,3,false,,,,investigate,,,preserve_xmlid_action_until_M5,product_and_runtime_evidence_not_yet_available
smart_construction_core.menu_sc_bid_deposit_pay,智慧施工管理平台 / 财务中心 / 费用与保证金 / 投标保证金支付,投标保证金支付,smart_construction_core.action_sc_bid_deposit_pay,"smart_construction_core.group_sc_cap_business_initiator,smart_construction_core.group_sc_cap_finance_manager,smart_construction_core.group_sc_cap_finance_read,smart_construction_core.group_sc_cap_finance_user",3,false,,,,investigate,,,preserve_xmlid_action_until_M5,product_and_runtime_evidence_not_yet_available
smart_construction_core.menu_sc_bid_deposit_return,智慧施工管理平台 / 财务中心 / 费用与保证金 / 投标保证金退回,投标保证金退回,smart_construction_core.action_sc_bid_deposit_return,"smart_construction_core.group_sc_cap_business_initiator,smart_construction_core.group_sc_cap_finance_manager,smart_construction_core.group_sc_cap_finance_read,smart_construction_core.group_sc_cap_finance_user",3,false,,,,investigate,,,preserve_xmlid_action_until_M5,product_and_runtime_evidence_not_yet_available
smart_construction_core.menu_sc_bonus,智慧施工管理平台 / 人事行政 / 奖金,奖金,smart_construction_core.action_sc_bonus,"smart_construction_core.group_sc_cap_business_config_admin,smart_construction_core.group_sc_cap_business_initiator",2,false,,,,investigate,,,preserve_xmlid_action_until_M5,product_and_runtime_evidence_not_yet_available
smart_construction_core.menu_sc_borrowing_bill,智慧施工管理平台 / 财务中心 / 费用与保证金 / 借款单,借款单,smart_construction_core.action_sc_financing_loan_borrowing,"smart_construction_core.group_sc_cap_finance_manager,smart_construction_core.group_sc_cap_finance_read,smart_construction_core.group_sc_cap_finance_user",3,false,,,,investigate,,,preserve_xmlid_action_until_M5,product_and_runtime_evidence_not_yet_available
smart_construction_core.menu_sc_borrowing_request,智慧施工管理平台 / 财务中心 / 资金往来办理 / 借款申请,借款申请,smart_construction_core.action_sc_financing_loan_borrowing_request,"smart_construction_core.group_sc_cap_business_initiator,smart_construction_core.group_sc_cap_finance_manager,smart_construction_core.group_sc_cap_finance_read,smart_construction_core.group_sc_cap_finance_user",3,false,,,,investigate,,,preserve_xmlid_action_until_M5,product_and_runtime_evidence_not_yet_available
smart_construction_core.menu_sc_budget_alloc,智慧施工管理平台 / 成本中心 / 预算清单分摊,预算清单分摊,smart_construction_core.action_project_budget_cost_alloc,"smart_construction_core.group_sc_cap_cost_manager,smart_construction_core.group_sc_cap_cost_user",2,false,,,,investigate,,,preserve_xmlid_action_until_M5,product_and_runtime_evidence_not_yet_available
smart_construction_core.menu_sc_business_analysis_group,智慧施工管理平台 / 统计分析 / 经营分析,经营分析,,,2,false,,,,investigate,,,preserve_xmlid_action_until_M5,product_and_runtime_evidence_not_yet_available
smart_construction_core.menu_sc_business_base_config_group,智慧施工管理平台 / 配置中心 / 业务基础数据,业务基础数据,,smart_construction_core.group_sc_cap_business_config_admin,2,false,,,,investigate,,,preserve_xmlid_action_until_M5,product_and_runtime_evidence_not_yet_available
smart_construction_core.menu_sc_business_category,智慧施工管理平台 / 配置中心 / 业务基础数据 / 业务分类字典,业务分类字典,smart_construction_core.action_sc_business_category,smart_construction_core.group_sc_cap_business_config_admin,3,false,,,,investigate,,,preserve_xmlid_action_until_M5,product_and_runtime_evidence_not_yet_available
smart_construction_core.menu_sc_business_config_center,智慧施工管理平台 / 配置中心,配置中心,,smart_construction_core.group_sc_cap_business_config_admin,1,false,,,,investigate,,,preserve_xmlid_action_until_M5,product_and_runtime_evidence_not_yet_available
smart_construction_core.menu_sc_business_config_workbench,智慧施工管理平台 / 配置中心 / 低代码系统配置 / 配置工作台,配置工作台,smart_construction_core.action_sc_business_config_workbench,"smart_construction_core.group_sc_cap_business_config_admin,smart_core.group_smart_core_admin,smart_core.group_smart_core_business_config_admin",3,false,,,,investigate,,,preserve_xmlid_action_until_M5,product_and_runtime_evidence_not_yet_available
smart_construction_core.menu_sc_business_entity,智慧施工管理平台 / 统计分析 / 业务核算主体,业务核算主体,smart_construction_core.action_sc_business_entity,smart_construction_core.group_sc_cap_business_config_admin,2,false,,,,investigate,,,preserve_xmlid_action_until_M5,product_and_runtime_evidence_not_yet_available
smart_construction_core.menu_sc_capability,智慧施工管理平台 / 系统配置 / 场景与能力 / 能力目录,能力目录,smart_construction_core.action_sc_capability,smart_core.group_smart_core_admin,3,false,,,,investigate,,,preserve_xmlid_action_until_M5,product_and_runtime_evidence_not_yet_available
smart_construction_core.menu_sc_capability_group,智慧施工管理平台 / 系统配置 / 场景与能力 / 能力分组,能力分组,smart_construction_core.action_sc_capability_group,smart_core.group_smart_core_admin,3,false,,,,investigate,,,preserve_xmlid_action_until_M5,product_and_runtime_evidence_not_yet_available
smart_construction_core.menu_sc_certificate_registration,智慧施工管理平台 / 资料证照 / 证照登记,证照登记,smart_construction_core.action_sc_certificate_registration,"smart_construction_core.group_sc_cap_business_config_admin,smart_construction_core.group_sc_cap_business_initiator",2,false,,,,investigate,,,preserve_xmlid_action_until_M5,product_and_runtime_evidence_not_yet_available
smart_construction_core.menu_sc_company_contractor_responsibility_fact,智慧施工管理平台 / 财务中心 / 资金分析 / 公司-承包人资金责任明细,公司-承包人资金责任明细,smart_construction_core.action_sc_company_contractor_responsibility_fact,"smart_construction_core.group_sc_cap_finance_manager,smart_construction_core.group_sc_cap_finance_read,smart_construction_core.group_sc_cap_finance_user",3,false,,,,investigate,,,preserve_xmlid_action_until_M5,product_and_runtime_evidence_not_yet_available
smart_construction_core.menu_sc_company_contractor_responsibility_summary,智慧施工管理平台 / 财务中心 / 资金分析 / 公司-承包人资金责任余额,公司-承包人资金责任余额,smart_construction_core.action_sc_company_contractor_responsibility_summary,"smart_construction_core.group_sc_cap_finance_manager,smart_construction_core.group_sc_cap_finance_read,smart_construction_core.group_sc_cap_finance_user",3,false,,,,investigate,,,preserve_xmlid_action_until_M5,product_and_runtime_evidence_not_yet_available
smart_construction_core.menu_sc_company_deduction,智慧施工管理平台 / 财务中心 / 费用与保证金 / 公司扣款,公司扣款,smart_construction_core.action_sc_expense_claim_expense,"smart_construction_core.group_sc_cap_finance_manager,smart_construction_core.group_sc_cap_finance_read,smart_construction_core.group_sc_cap_finance_user",3,false,,,,investigate,,,preserve_xmlid_action_until_M5,product_and_runtime_evidence_not_yet_available
smart_construction_core.menu_sc_company_document_archive,智慧施工管理平台 / 资料证照 / 公司资料存档,公司资料存档,smart_construction_core.action_sc_company_document_archive,"smart_construction_core.group_sc_cap_business_config_admin,smart_construction_core.group_sc_cap_business_initiator",2,false,,,,investigate,,,preserve_xmlid_action_until_M5,product_and_runtime_evidence_not_yet_available
smart_construction_core.menu_sc_company_expense,智慧施工管理平台 / 财务中心 / 费用与保证金 / 公司支出,公司支出,smart_construction_core.action_sc_payment_execution,"smart_construction_core.group_sc_cap_finance_manager,smart_construction_core.group_sc_cap_finance_read,smart_construction_core.group_sc_cap_finance_user",3,false,,,,investigate,,,preserve_xmlid_action_until_M5,product_and_runtime_evidence_not_yet_available
smart_construction_core.menu_sc_company_finance_expense,智慧施工管理平台 / 财务中心 / 收付款办理 / 公司财务支出,公司财务支出,smart_construction_core.action_sc_payment_execution_company_finance_expense,"smart_construction_core.group_sc_cap_business_initiator,smart_construction_core.group_sc_cap_finance_manager,smart_construction_core.group_sc_cap_finance_read,smart_construction_core.group_sc_cap_finance_user",3,false,,,,investigate,,,preserve_xmlid_action_until_M5,product_and_runtime_evidence_not_yet_available
smart_construction_core.menu_sc_company_income,智慧施工管理平台 / 财务中心 / 费用与保证金 / 公司收入,公司收入,smart_construction_core.action_sc_receipt_income,"smart_construction_core.group_sc_cap_finance_manager,smart_construction_core.group_sc_cap_finance_read,smart_construction_core.group_sc_cap_finance_user",3,false,,,,investigate,,,preserve_xmlid_action_until_M5,product_and_runtime_evidence_not_yet_available
smart_construction_core.menu_sc_company_operation_summary_report,智慧施工管理平台 / 税务中心 / 财税报表 / 公司经营情况表,公司经营情况表,smart_construction_core.action_sc_company_operation_summary,"smart_construction_core.group_sc_cap_cost_manager,smart_construction_core.group_sc_cap_cost_read,smart_construction_core.group_sc_cap_cost_user,smart_construction_core.group_sc_cap_finance_manager,smart_construction_core.group_sc_cap_finance_read,smart_construction_core.group_sc_cap_finance_user",3,false,,,,investigate,,,preserve_xmlid_action_until_M5,product_and_runtime_evidence_not_yet_available
smart_construction_core.menu_sc_comprehensive_cost_statistics_report,智慧施工管理平台 / 统计分析 / 成本报表 / 成本统计表（综合）,成本统计表（综合）,smart_construction_core.action_sc_comprehensive_cost_statistics_report,"smart_construction_core.group_sc_cap_business_initiator,smart_construction_core.group_sc_cap_contract_manager,smart_construction_core.group_sc_cap_contract_read,smart_construction_core.group_sc_cap_contract_user,smart_construction_core.group_sc_cap_cost_manager,smart_construction_core.group_sc_cap_cost_read,smart_construction_core.group_sc_cap_cost_user,smart_construction_core.group_sc_cap_finance_manager,smart_construction_core.group_sc_cap_finance_read,smart_construction_core.group_sc_cap_finance_user",3,false,,,,investigate,,,preserve_xmlid_action_until_M5,product_and_runtime_evidence_not_yet_available
smart_construction_core.menu_sc_config_center,智慧施工管理平台 / 系统配置,系统配置,,smart_core.group_smart_core_admin,1,false,,,,investigate,,,preserve_xmlid_action_until_M5,product_and_runtime_evidence_not_yet_available
smart_construction_core.menu_sc_construction_contract,智慧施工管理平台 / 合同中心 / 合同办理,合同办理,smart_construction_core.action_construction_contract_handling,"smart_construction_core.group_sc_cap_business_initiator,smart_construction_core.group_sc_cap_contract_manager,smart_construction_core.group_sc_cap_contract_read,smart_construction_core.group_sc_cap_contract_user",2,false,,,,investigate,,,preserve_xmlid_action_until_M5,product_and_runtime_evidence_not_yet_available
smart_construction_core.menu_sc_construction_diary,智慧施工管理平台 / 施工管理 / 施工日志,施工日志,smart_construction_core.action_sc_construction_diary,"smart_construction_core.group_sc_cap_project_manager,smart_construction_core.group_sc_cap_project_read,smart_construction_core.group_sc_cap_project_user",2,false,,,,investigate,,,preserve_xmlid_action_until_M5,product_and_runtime_evidence_not_yet_available
smart_construction_core.menu_sc_construction_management_center,智慧施工管理平台 / 施工管理,施工管理,,,1,false,,,,investigate,,,preserve_xmlid_action_until_M5,product_and_runtime_evidence_not_yet_available
smart_construction_core.menu_sc_construction_progress,智慧施工管理平台 / 施工管理 / 进度管理,进度管理,smart_construction_core.action_project_progress_entry,"smart_construction_core.group_sc_cap_cost_manager,smart_construction_core.group_sc_cap_cost_user",2,false,,,,investigate,,,preserve_xmlid_action_until_M5,product_and_runtime_evidence_not_yet_available
smart_construction_core.menu_sc_contract_center,智慧施工管理平台 / 合同中心,合同中心,smart_construction_core.action_construction_contract_handling,"smart_construction_core.group_sc_cap_business_initiator,smart_construction_core.group_sc_cap_contract_manager,smart_construction_core.group_sc_cap_contract_read,smart_construction_core.group_sc_cap_contract_user,smart_construction_core.group_sc_cap_purchase_manager",1,false,,,,investigate,,,preserve_xmlid_action_until_M5,product_and_runtime_evidence_not_yet_available
smart_construction_core.menu_sc_contract_deposit_register,智慧施工管理平台 / 财务中心 / 费用与保证金 / 合同保证金支付,合同保证金支付,smart_construction_core.action_sc_contract_deposit_pay,"smart_construction_core.group_sc_cap_business_initiator,smart_construction_core.group_sc_cap_finance_manager,smart_construction_core.group_sc_cap_finance_read,smart_construction_core.group_sc_cap_finance_user",3,false,,,,investigate,,,preserve_xmlid_action_until_M5,product_and_runtime_evidence_not_yet_available
smart_construction_core.menu_sc_contract_deposit_return,智慧施工管理平台 / 财务中心 / 费用与保证金 / 合同保证金退回,合同保证金退回,smart_construction_core.action_sc_contract_deposit_return,"smart_construction_core.group_sc_cap_business_initiator,smart_construction_core.group_sc_cap_finance_manager,smart_construction_core.group_sc_cap_finance_read,smart_construction_core.group_sc_cap_finance_user",3,false,,,,investigate,,,preserve_xmlid_action_until_M5,product_and_runtime_evidence_not_yet_available
smart_construction_core.menu_sc_contract_event,智慧施工管理平台 / 合同中心 / 收入合同台账 / 合同履约事件,合同履约事件,smart_construction_core.action_sc_contract_event,"smart_construction_core.group_sc_cap_contract_manager,smart_construction_core.group_sc_cap_contract_read,smart_construction_core.group_sc_cap_contract_user",3,false,,,,investigate,,,preserve_xmlid_action_until_M5,product_and_runtime_evidence_not_yet_available
smart_construction_core.menu_sc_contract_expense,智慧施工管理平台 / 合同中心 / 支出合同台账 / 支出合同台账,支出合同台账,smart_construction_core.action_sc_expense_contract_ledger,"smart_construction_core.group_sc_cap_business_initiator,smart_construction_core.group_sc_cap_contract_manager,smart_construction_core.group_sc_cap_contract_read,smart_construction_core.group_sc_cap_contract_user",3,false,,,,investigate,,,preserve_xmlid_action_until_M5,product_and_runtime_evidence_not_yet_available
smart_construction_core.menu_sc_contract_handling,智慧施工管理平台 / 合同中心 / 合同办理,合同办理,smart_construction_core.action_construction_contract_handling,"smart_construction_core.group_sc_cap_contract_manager,smart_construction_core.group_sc_cap_contract_read,smart_construction_core.group_sc_cap_contract_user",2,false,,,,investigate,,,preserve_xmlid_action_until_M5,product_and_runtime_evidence_not_yet_available
smart_construction_core.menu_sc_contract_income,智慧施工管理平台 / 合同中心 / 收入合同台账 / 收入合同台账,收入合同台账,smart_construction_core.action_sc_income_contract_ledger,"smart_construction_core.group_sc_cap_business_initiator,smart_construction_core.group_sc_cap_contract_manager,smart_construction_core.group_sc_cap_contract_read,smart_construction_core.group_sc_cap_contract_user",3,false,,,,investigate,,,preserve_xmlid_action_until_M5,product_and_runtime_evidence_not_yet_available
smart_construction_core.menu_sc_contractor_project_borrow,智慧施工管理平台 / 财务中心 / 资金往来办理 / 承包人借项目款,承包人借项目款,smart_construction_core.action_sc_financing_loan_contractor_project_borrow,"smart_construction_core.group_sc_cap_business_initiator,smart_construction_core.group_sc_cap_finance_manager,smart_construction_core.group_sc_cap_finance_read,smart_construction_core.group_sc_cap_finance_user",3,false,,,,investigate,,,preserve_xmlid_action_until_M5,product_and_runtime_evidence_not_yet_available
smart_construction_core.menu_sc_contractor_project_repay,智慧施工管理平台 / 财务中心 / 资金往来办理 / 承包人还项目款,承包人还项目款,smart_construction_core.action_sc_expense_claim_contractor_project_repay,"smart_construction_core.group_sc_cap_business_initiator,smart_construction_core.group_sc_cap_finance_manager,smart_construction_core.group_sc_cap_finance_read,smart_construction_core.group_sc_cap_finance_user",3,false,,,,investigate,,,preserve_xmlid_action_until_M5,product_and_runtime_evidence_not_yet_available
smart_construction_core.menu_sc_cost_big_screen_delivery,智慧施工管理平台 / 智慧大屏 / 成本大屏,成本大屏,smart_construction_core.action_sc_cost_big_screen_delivery,"smart_construction_core.group_sc_cap_cost_manager,smart_construction_core.group_sc_cap_cost_read,smart_construction_core.group_sc_cap_cost_user,smart_construction_core.group_sc_cap_finance_manager,smart_construction_core.group_sc_cap_finance_read,smart_construction_core.group_sc_cap_finance_user",2,false,,,,investigate,,,preserve_xmlid_action_until_M5,product_and_runtime_evidence_not_yet_available
smart_construction_core.menu_sc_cost_center,智慧施工管理平台 / 成本中心,成本中心,,"smart_construction_core.group_sc_cap_cost_manager,smart_construction_core.group_sc_cap_cost_user",1,false,,,,investigate,,,preserve_xmlid_action_until_M5,product_and_runtime_evidence_not_yet_available
smart_construction_core.menu_sc_cost_report_group,智慧施工管理平台 / 统计分析 / 成本报表,成本报表,,,2,false,,,,investigate,,,preserve_xmlid_action_until_M5,product_and_runtime_evidence_not_yet_available
smart_construction_core.menu_sc_cost_reports,智慧施工管理平台 / 成本中心 / 成本汇总,成本汇总,smart_construction_core.action_project_cost_compare,"smart_construction_core.group_sc_cap_cost_manager,smart_construction_core.group_sc_cap_cost_user",2,false,,,,investigate,,,preserve_xmlid_action_until_M5,product_and_runtime_evidence_not_yet_available
smart_construction_core.menu_sc_customer_partner,智慧施工管理平台 / 基础资料 / 客户,客户,smart_construction_core.action_sc_customer_partner,smart_construction_core.group_sc_cap_contact_manager,2,false,,,,investigate,,,preserve_xmlid_action_until_M5,product_and_runtime_evidence_not_yet_available
smart_construction_core.menu_sc_dashboard_cost_cockpit_fact,智慧施工管理平台 / 智慧大屏 / 成本驾驶舱,成本驾驶舱,smart_construction_core.action_sc_dashboard_cost_cockpit_fact,,2,false,,,,investigate,,,preserve_xmlid_action_until_M5,product_and_runtime_evidence_not_yet_available
smart_construction_core.menu_sc_dashboard_fund_cockpit_fact,智慧施工管理平台 / 智慧大屏 / 资金驾驶舱,资金驾驶舱,smart_construction_core.action_sc_dashboard_fund_cockpit_fact,,2,false,,,,investigate,,,preserve_xmlid_action_until_M5,product_and_runtime_evidence_not_yet_available
smart_construction_core.menu_sc_data_center,智慧施工管理平台 / 统计分析,统计分析,,"smart_construction_core.group_sc_cap_cost_manager,smart_construction_core.group_sc_cap_cost_read,smart_construction_core.group_sc_cap_cost_user,smart_construction_core.group_sc_cap_data_read,smart_construction_core.group_sc_cap_finance_manager,smart_construction_core.group_sc_cap_finance_read,smart_construction_core.group_sc_cap_finance_user",1,false,,,,investigate,,,preserve_xmlid_action_until_M5,product_and_runtime_evidence_not_yet_available
smart_construction_core.menu_sc_deduction_bill,智慧施工管理平台 / 财务中心 / 扣款与非现金 / 扣款登记,扣款登记,smart_construction_core.action_sc_expense_claim_deduction_bill,"smart_construction_core.group_sc_cap_business_initiator,smart_construction_core.group_sc_cap_finance_manager,smart_construction_core.group_sc_cap_finance_read,smart_construction_core.group_sc_cap_finance_user",3,false,,,,investigate,,,preserve_xmlid_action_until_M5,product_and_runtime_evidence_not_yet_available
smart_construction_core.menu_sc_deduction_paid,智慧施工管理平台 / 财务中心 / 费用与保证金 / 扣款实缴登记,扣款实缴登记,smart_construction_core.action_sc_expense_claim_deduction_paid,"smart_construction_core.group_sc_cap_business_initiator,smart_construction_core.group_sc_cap_finance_manager,smart_construction_core.group_sc_cap_finance_read,smart_construction_core.group_sc_cap_finance_user",3,false,,,,investigate,,,preserve_xmlid_action_until_M5,product_and_runtime_evidence_not_yet_available
smart_construction_core.menu_sc_deduction_paid_refund,智慧施工管理平台 / 财务中心 / 费用与保证金 / 扣款实缴退回,扣款实缴退回,smart_construction_core.action_sc_expense_claim_deduction_paid_refund,"smart_construction_core.group_sc_cap_business_initiator,smart_construction_core.group_sc_cap_finance_manager,smart_construction_core.group_sc_cap_finance_read,smart_construction_core.group_sc_cap_finance_user",3,false,,,,investigate,,,preserve_xmlid_action_until_M5,product_and_runtime_evidence_not_yet_available
smart_construction_core.menu_sc_deduction_user_group,智慧施工管理平台 / 财务中心 / 扣款,扣款,,,2,false,,,,investigate,,,preserve_xmlid_action_until_M5,product_and_runtime_evidence_not_yet_available
